step,GS_21441737_queue,GS_21441737_wait_time,GS_25954547_queue,GS_25954547_wait_time,GS_26752062_queue,GS_26752062_wait_time,GS_26753059_queue,GS_26753059_wait_time,GS_659394041_queue,GS_659394041_wait_time,cluster_262476527_26871569_311718989_3836987635_#3more_queue,cluster_262476527_26871569_311718989_3836987635_#3more_wait_time
274,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
275,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
276,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
277,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
278,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
279,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0,2,2.0
280,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0,3,5.0
281,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,2,5.0
282,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,1,4.0
283,0,0.0,0,0.0,0,0.0,1,6.0,0,0.0,1,5.0
284,0,0.0,0,0.0,0,0.0,1,7.0,0,0.0,1,6.0
285,0,0.0,0,0.0,0,0.0,1,8.0,0,0.0,1,7.0
286,0,0.0,0,0.0,0,0.0,1,9.0,0,0.0,1,8.0
287,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,9.0
288,0,0.0,1,1.0,0,0.0,1,2.0,0,0.0,2,11.0
289,1,1.0,1,2.0,0,0.0,1,3.0,0,0.0,2,13.0
290,1,2.0,1,3.0,0,0.0,1,4.0,0,0.0,3,15.0
291,0,0.0,1,4.0,0,0.0,1,5.0,0,0.0,3,17.0
292,0,0.0,0,0.0,0,0.0,1,6.0,0,0.0,3,19.0
293,0,0.0,0,0.0,0,0.0,1,7.0,0,0.0,3,21.0
294,0,0.0,0,0.0,0,0.0,1,8.0,0,0.0,4,24.0
295,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,28.0
296,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,30.0
297,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,5,33.0
298,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,5,36.0
299,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,5,39.0
300,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,3,20.0
301,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.0
302,1,6.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0
303,1,7.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0
304,1,8.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0
305,1,9.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0
306,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0
307,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0
308,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0
309,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0
310,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3.0
311,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.0
312,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0
313,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.0
314,1,6.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.0
315,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.0
316,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.0
317,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.0
318,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,4,14.0
319,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,3,17.0
320,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,2,16.0
321,2,5.0,0,0.0,0,0.0,0,0.0,0,0.0,2,18.0
322,2,7.0,0,0.0,0,0.0,0,0.0,0,0.0,2,20.0
323,2,9.0,0,0.0,0,0.0,0,0.0,0,0.0,2,22.0
324,3,11.0,1,1.0,0,0.0,0,0.0,0,0.0,2,24.0
325,2,13.0,1,2.0,0,0.0,0,0.0,0,0.0,2,26.0
326,2,15.0,0,0.0,0,0.0,0,0.0,0,0.0,3,28.0
327,2,17.0,0,0.0,0,0.0,0,0.0,0,0.0,3,30.0
328,2,19.0,0,0.0,0,0.0,0,0.0,0,0.0,3,32.0
329,2,21.0,0,0.0,0,0.0,0,0.0,0,0.0,3,34.0
330,2,23.0,0,0.0,0,0.0,0,0.0,0,0.0,3,36.0
331,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,3,38.0
332,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,40.0
333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,42.0
334,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,3,44.0
335,1,2.0,0,0.0,1,1.0,1,2.0,0,0.0,3,46.0
336,1,3.0,0,0.0,1,2.0,1,3.0,0,0.0,3,48.0
337,1,4.0,0,0.0,1,3.0,1,4.0,0,0.0,3,50.0
